"Evaluation_Model","Evaluation_Model.Commit","Evaluation_Model.Datetime","Evaluation_Model.ProductionClass","Evaluation_Model.ChangedProductionMethods","Evaluation_Model.TestClass","Evaluation_Model.ChangedTestMethods","Evaluation_Model.ChangedAndCalled","Evaluation_Model.CalledTestMethods","Evaluation_Model.RecomendedTests","Evaluation_Model.RecomendedIndex"
"BusinessLogic.Evaluation_Model","f161ff66698bea44784926fc6aa9073d96a00cec","24-05-2024 09:44:20 AM -04:00","ObjectUtils","public static T clone(final T obj)","ObjectUtilsTest","public void testCloneOfUncloneable()
public void testPossibleCloneOfUncloneable()","public void testCloneOfUncloneable()","public void testCloneOfUncloneable()","public void testCloneOfUncloneable()","1"
"BusinessLogic.Evaluation_Model","f161ff66698bea44784926fc6aa9073d96a00cec","24-05-2024 09:44:20 AM -04:00","EventUtils","public static void addEventListener(final Object eventSource, final Class<L> listenerType, final L listener)","EventUtilsTest","public void addPropertyChangeListener(final PropertyChangeListener listener)
public void testAddEventListenerWithNoAddMethod()
public void testAddEventListenerWithPrivateAddMethod()","public void testAddEventListenerWithNoAddMethod()
public void testAddEventListenerWithPrivateAddMethod()","public void testAddEventListenerWithNoAddMethod()
public void testAddEventListenerWithPrivateAddMethod()","public void testAddEventListenerWithNoAddMethod()
public void testAddEventListenerWithPrivateAddMethod()
public void testAddEventListenerThrowsException()
public void testAddEventListener()","1, 2"
"BusinessLogic.Evaluation_Model","dfe80aaca3a686047b832e321dafe141954a983f","24-04-2024 06:21:56 PM -04:00","SystemUtils"," static boolean isOsMatch(final String osName, final String osVersion, final String osNamePrefix, final String osVersionPrefix)","SystemUtilsTest","public void testOSMatchesName()
public void testOSMatchesNameAndVersion()
public void testOsVersionMatches()","public void testOSMatchesNameAndVersion()","public void testOSMatchesNameAndVersion()","public void testOSMatchesNameAndVersion()","1"
"BusinessLogic.Evaluation_Model","dfe80aaca3a686047b832e321dafe141954a983f","24-04-2024 06:21:56 PM -04:00","SystemUtils"," static boolean isOsNameMatch(final String osName, final String osNamePrefix)","SystemUtilsTest","public void testOSMatchesName()
public void testOSMatchesNameAndVersion()
public void testOsVersionMatches()","public void testOSMatchesName()","public void testOSMatchesName()","public void testOSMatchesName()","1"
"BusinessLogic.Evaluation_Model","dfe80aaca3a686047b832e321dafe141954a983f","24-04-2024 06:21:56 PM -04:00","SystemUtils"," static boolean isOsVersionMatch(final String osVersion, final String osVersionPrefix)","SystemUtilsTest","public void testOSMatchesName()
public void testOSMatchesNameAndVersion()
public void testOsVersionMatches()","public void testOsVersionMatches()","public void testOsVersionMatches()","public void testOsVersionMatches()","1"
"BusinessLogic.Evaluation_Model","892826578a7cefb901b8fe2e304aa1ce7470267a","24-04-2024 06:20:53 PM -04:00","JavaVersion"," static JavaVersion get(final String versionStr)","JavaVersionTest","public void testAtLeast()
public void testGetJavaVersion() throws Exception
public void testToString()","public void testGetJavaVersion() throws Exception","public void testGetJavaVersion() throws Exception","public void testGetJavaVersion()
public void testGetJavaVersion() throws Exception","2"
"BusinessLogic.Evaluation_Model","fc014c23fe4441b9a31f261468072d04433670a5","19-04-2024 08:53:54 AM -04:00","StringUtils","public static String stripAccents(final String input)","StringUtilsTrimStripTest","public void testStripAccents()
public void testStripAccents_Korean()","public void testStripAccents()
public void testStripAccents_Korean()","public void testStripAccents()
public void testStripAccents_Korean()","public void testStripAccents()
public void testStripAccents_Korean()","1, 2"
"BusinessLogic.Evaluation_Model","64736630706adf9e2cbb482fbfcbdc81a9dc02f7","29-03-2024 02:12:41 PM -04:00","Streams","public static Stream<E> nonNull(final E array)","StreamsTest","public Stream<DynamicTest> simpleStreamFilterFailing()
public Stream<DynamicTest> simpleStreamForEachFailing()
public void testNonNull()
public void testSimpleStreamFilter()
public void testSimpleStreamForEach()
public void testSimpleStreamMap()
public void testSimpleStreamMapFailing()","public void testNonNull()","public void testNonNull()","public void testNonNull()","1"
"BusinessLogic.Evaluation_Model","6540edfdc0b710f05316bbe6b4f0eb140dca317c","24-01-2024 10:38:24 PM -05:00","MultiBackgroundInitializer","public void close() throws ConcurrentException","MultiBackgroundInitializerSupplierTest","public void setUpException() throws Exception
public void testClose() throws ConcurrentException, InterruptedException
public void testCloseWithCheckedException() throws Exception
public void testCloseWithRuntimeException() throws Exception
public void testCloseWithTwoExceptions() throws ConcurrentException, InterruptedException","public void testClose() throws ConcurrentException, InterruptedException
public void testCloseWithCheckedException() throws Exception
public void testCloseWithRuntimeException() throws Exception
public void testCloseWithTwoExceptions() throws ConcurrentException, InterruptedException","public void testClose() throws ConcurrentException, InterruptedException
public void testCloseWithCheckedException() throws Exception
public void testCloseWithRuntimeException() throws Exception
public void testCloseWithTwoExceptions() throws ConcurrentException, InterruptedException","public void testClose() throws ConcurrentException, InterruptedException
public void testCloseWithCheckedException() throws Exception
public void testCloseWithRuntimeException() throws Exception
public void testCloseWithTwoExceptions() throws ConcurrentException, InterruptedException","1, 2, 3, 4"
"BusinessLogic.Evaluation_Model","4949adec480ddccdee4f7d09231e85e84fec00a1","12-12-2023 07:55:33 AM -05:00","ReflectionDiffBuilder","public ReflectionDiffBuilder<T> build()","ReflectionDiffBuilderTest","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullExcludedFieldNamesCtor()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNamesCtor()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","1, 2"
"BusinessLogic.Evaluation_Model","4949adec480ddccdee4f7d09231e85e84fec00a1","12-12-2023 07:55:33 AM -05:00","ReflectionDiffBuilder","public Builder<T> setDiffBuilder(final DiffBuilder<T> diffBuilder)","ReflectionDiffBuilderTest","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullExcludedFieldNamesCtor()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNamesCtor()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","1, 2"
"BusinessLogic.Evaluation_Model","4949adec480ddccdee4f7d09231e85e84fec00a1","12-12-2023 07:55:33 AM -05:00","ReflectionDiffBuilder","public static Builder<T> builder()","ReflectionDiffBuilderTest","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullExcludedFieldNamesCtor()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNamesCtor()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","public void testGetExcludeFieldNamesWithNullExcludedFieldNames()
public void testGetExcludeFieldNamesWithNullValuesInExcludedFieldNames()","1, 2"
